Country,Region,Population (millions),Ship transport Footprint,Air Transport Footprint,Railway Footprint,Truck Footprint,Cars Footprint,Total Ecological Footprint,Average Usage cost of CO2e/$,HDI,Household,Clothes,Electrical,Medical,Recreational,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
China,Asia-Pacific,1408.04,0.08,2.32,0.19,0.13,0.55,3.38,"$5,560.94 ",0.72,0.46,0.1,0.22,0.04,0.12,0.94,-2.44,1.95,3.59,6
India,Asia-Pacific,1236.69,0.02,0.61,0.14,0.01,0.34,1.16,"$1,513.85 ",0.6,0.35,0,0.02,0.03,0.05,0.45,-0.71,0.67,2.55,6
United States of America,North America,317.5,0.12,5.9,0.67,0.3,1.13,8.22,"$49,725.00 ",0.91,1.49,0.28,1.57,0.33,0.09,3.76,-4.46,4.75,2.19,6
Indonesia,Asia-Pacific,246.86,0.21,0.64,0.2,0.03,0.44,1.58,"$3,688.53 ",0.68,0.46,0.06,0.3,0.38,0.06,1.26,-0.32,0.91,1.25,6
Brazil,Latin America,198.66,0.04,0.91,0.6,0.85,0.62,3.11,"$13,237.60 ",0.75,1,1,6.82,0.17,0.09,9.08,5.97,1.8,0.34,5
Pakistan,Asia-Pacific,179.16,0.02,0.38,0.08,0.01,0.27,0.79,"$1,218.60 ",0.53,0.26,0,0.01,0.04,0.03,0.35,-0.44,0.46,2.28,6
Nigeria,Africa,168.83,0.08,0.21,0.19,0.1,0.53,1.16,"$2,612.12 ",0.5,0.5,0.12,0.02,0.02,0.05,0.7,-0.47,0.67,1.67,5
Bangladesh,Asia-Pacific,154.7,0.02,0.26,0.08,0,0.29,0.72,$857.50 ,0.56,0.25,0,0,0.05,0.07,0.38,-0.35,0.42,1.92,6
Russian Federation,Northern/Eastern Europe,143.17,0.19,3.87,0.67,0.15,0.77,5.69,"$13,320.20 ",0.79,0.85,0.34,4.38,1.19,0.03,6.79,1.1,3.29,0.84,6
Japan,Asia-Pacific,127.25,0.33,3.69,0.27,0.1,0.53,5.02,"$46,201.60 ",0.89,0.16,0,0.35,0.1,0.1,0.72,-4.3,2.9,7.01,6
Mexico,Latin America,120.85,0.06,1.74,0.25,0.24,0.55,2.89,"$10,123.90 ",0.75,0.37,0.24,0.47,0.14,0.05,1.27,-1.62,1.67,2.27,5
Philippines,Asia-Pacific,96.71,0.23,0.34,0.09,0.03,0.36,1.1,"$2,379.44 ",0.66,0.32,0.02,0.09,0.07,0.05,0.54,-0.56,0.64,2.03,5
Ethiopia,Africa,91.73,0,0.07,0.46,0.12,0.31,1.02,$379.38 ,0.43,0.31,0.12,0.05,0.04,0.06,0.58,-0.44,0.59,1.75,6
Viet Nam,Asia-Pacific,90.8,0.05,0.79,0.19,0.01,0.5,1.65,"$1,532.31 ",0.66,0.55,0.01,0.17,0.16,0.1,1,-0.65,0.95,1.66,6
Germany,European Union,82.8,0.05,3.28,0.48,0.14,1.1,5.3,"$46,822.40 ",0.91,1.23,0.06,0.68,0.07,0.24,2.27,-3.02,3.06,2.33,5
